公司,分公司名称,年/月,查询量,查询类型
杭标集团,浙江杭州分公司,2019-05	,3842,百融
杭标集团,云南省分公司,2019-05	,1502,百融
杭标集团,内蒙古分公司,2019-05	,1371,百融
杭标集团,湖南省分公司,2019-05	,1013,百融
杭标集团,湖北省分公司,2019-05	,889,百融
杭标集团,贵州省分公司,2019-05	,775,百融
杭标集团,广西省分公司,2019-05	,643,百融
杭标集团,陕西省分公司,2019-05	,605,百融
杭标集团,辽宁省分公司,2019-05	,585,百融
杭标集团,山西省分公司,2019-05	,277,百融
杭标集团,江苏省分公司,2019-05	,236,百融
杭标集团,山东省分公司,2019-05	,109,百融
杭标集团,山西吕梁,2019-05	,88,百融
杭标集团,开心汽车,2019-05	,48,百融
杭标集团,优约金融,2019-05	,44,百融
杭标集团,临沂分公司,2019-05	,43,百融
大数据商用,深华泰,2019-05	,35,百融
杭标集团,江苏南京聚车汇众,2019-05	,30,百融
杭标集团,京东金融,2019-05	,25,百融
杭标集团,青岛戴云峰地区,2019-05	,23,百融
杭标集团,河犸,2019-05	,15,百融
杭标集团,林润万车车城,2019-05	,9,百融
